353.97270341207354, 1088
359.4918635170604, 1312
365.40787401574806, 1632
370.142782152231, 1952
375.2745406824147, 2368
380.4104986876641, 2912
383.5727034120735, 3296
387.5275590551181, 3840
390.3013123359581, 4384
394.26141732283463, 5088
397.4320209973754, 5728
400.9984251968504, 6432
404.16272965879267, 6880
408.3070866141733, 7200
410.07769028871394, 7168
412.82939632545936, 7040
416.75065616797906, 6560
419.09711286089237, 6080
422.6183727034121, 5408.000000000001
425.3564304461943, 4864
427.7049868766404, 4448
430.44409448818897, 3936
434.75485564304466, 3328
438.6740157480315, 2784
443.7763779527559, 2304
448.88083989501314, 1888
454.7737532808399, 1504
463.42467191601054, 1184
470.503937007874, 960.0000000000018
476.4047244094488, 816
485.454593175853, 656
496.86719160104985, 512
504.73910761154855, 448
512.6110236220472, 384
522.0587926509187, 352
529.9307086614174, 288
535.0477690288715, 256
544.1018372703412, 224
549.2199475065618, 224
